restId,name_candidate,candidate_status,vote_count,selection_source,selected_rule
14,家乐福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
15,百佳,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
17,好又多,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
24,香港,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
62,家乐福,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
63,苏宁,平台/线上商家候选,3,票数不少于3,已接受候选中票数唯一最高
97,三江超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
117,满记甜品,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
129,华联超市,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
133,西塔超市,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
134,铁百,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
136,国美,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
157,别的超市,商家名称候选,3,票数不少于3,最高票并列，按排序第一项选择
163,韩津城,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
169,家乐福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
181,亚贸,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
196,美廉美超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
199,家乐福,商家名称候选,2,大语言模型：具体店名,最高票并列，按排序第一项选择
200,金源,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
202,海龙,商家名称候选,6,票数不少于3,已接受候选中票数唯一最高
212,国美,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
224,周大福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
234,大明,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
239,国华,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
240,华堂,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
250,金源,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
273,旋转餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
287,中央电视塔旋转餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
311,伊藤,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
382,直港大道的德庄,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
408,九洲,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
415,乐购,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
418,华联吉,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
421,麦德龙,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
429,颐高,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
447,城市超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
451,家乐福,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
452,百安居,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
453,百安居,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
455,正大,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
493,屈臣氏,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
551,淘宝,平台/线上商家候选,3,票数不少于3,已接受候选中票数唯一最高
574,河边,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
752,三叶,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
772,七浦路,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
886,华强超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
918,法宝超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
949,轻纺市场,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1202,屈臣氏,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1294,屈臣氏,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1301,回龙观,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
1352,卡玛巴西烤肉,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1413,辛香汇,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1726,九百,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
1899,海上海,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
2014,咖喱火锅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
2101,沃尔玛,商家名称候选,2,大语言模型：具体店名,最高票并列，按排序第一项选择
2166,淘宝,平台/线上商家候选,2,大语言模型：平台/线上商家名,已接受候选中票数唯一最高
2230,港式火锅,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
2233,屈臣氏,商家名称候选,10,票数不少于3,已接受候选中票数唯一最高
2507,海鸥饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
2528,淘宝,平台/线上商家候选,4,票数不少于3,已接受候选中票数唯一最高
2564,上海,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
2724,万宁,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
2916,淘宝,平台/线上商家候选,5,票数不少于3,已接受候选中票数唯一最高
3417,船屋,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
3639,粥底火锅,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
