restId,name_candidate,candidate_status,vote_count,selection_source
14,家乐福,商家名称候选,2,大语言模型：具体店名
15,百佳,商家名称候选,2,大语言模型：具体店名
17,好又多,商家名称候选,3,票数不少于3
24,香港,商家名称候选,4,票数不少于3
62,家乐福,商家名称候选,3,票数不少于3
63,苏宁,平台/线上商家候选,3,票数不少于3
97,三江超市,商家名称候选,3,票数不少于3
117,满记甜品,商家名称候选,2,大语言模型：具体店名
129,华联超市,商家名称候选,4,票数不少于3
133,西塔超市,商家名称候选,4,票数不少于3
134,铁百,商家名称候选,3,票数不少于3
136,国美,商家名称候选,2,大语言模型：具体店名
157,别的超市,商家名称候选,3,票数不少于3
157,麦德龙,商家名称候选,3,票数不少于3
157,别处,商家名称候选,2,大语言模型：具体店名
163,韩津城,商家名称候选,2,大语言模型：具体店名
169,家乐福,商家名称候选,2,大语言模型：具体店名
181,亚贸,商家名称候选,2,大语言模型：具体店名
196,美廉美超市,商家名称候选,2,大语言模型：具体店名
199,家乐福,商家名称候选,2,大语言模型：具体店名
199,家乐福超市,商家名称候选,2,大语言模型：具体店名
200,金源,商家名称候选,4,票数不少于3
202,海龙,商家名称候选,6,票数不少于3
202,中关村,商家名称候选,3,票数不少于3
212,国美,商家名称候选,4,票数不少于3
224,周大福,商家名称候选,2,大语言模型：具体店名
234,大明,商家名称候选,2,大语言模型：具体店名
239,国华,商家名称候选,4,票数不少于3
239,菜百,商家名称候选,2,大语言模型：具体店名
240,华堂,商家名称候选,3,票数不少于3
250,金源,商家名称候选,2,大语言模型：具体店名
273,旋转餐厅,商家名称候选,2,大语言模型：具体店名
287,中央电视塔旋转餐厅,商家名称候选,2,大语言模型：具体店名
311,伊藤,商家名称候选,4,票数不少于3
382,直港大道的德庄,商家名称候选,2,大语言模型：具体店名
408,九洲,商家名称候选,3,票数不少于3
415,乐购,商家名称候选,3,票数不少于3
418,华联吉,商家名称候选,2,大语言模型：具体店名
421,麦德龙,商家名称候选,5,票数不少于3
429,颐高,商家名称候选,3,票数不少于3
447,城市超市,商家名称候选,3,票数不少于3
451,家乐福,商家名称候选,4,票数不少于3
452,百安居,商家名称候选,3,票数不少于3
453,百安居,商家名称候选,4,票数不少于3
455,正大,商家名称候选,2,大语言模型：具体店名
493,屈臣氏,商家名称候选,4,票数不少于3
493,华联,商家名称候选,3,票数不少于3
551,淘宝,平台/线上商家候选,3,票数不少于3
574,河边,商家名称候选,3,票数不少于3
752,三叶,商家名称候选,2,大语言模型：具体店名
772,七浦路,商家名称候选,4,票数不少于3
886,华强超市,商家名称候选,2,大语言模型：具体店名
918,法宝超市,商家名称候选,2,大语言模型：具体店名
949,轻纺市场,商家名称候选,2,大语言模型：具体店名
1202,屈臣氏,商家名称候选,2,大语言模型：具体店名
1294,屈臣氏,商家名称候选,2,大语言模型：具体店名
1301,回龙观,商家名称候选,4,票数不少于3
1352,卡玛巴西烤肉,商家名称候选,2,大语言模型：具体店名
1413,辛香汇,商家名称候选,2,大语言模型：具体店名
1726,九百,商家名称候选,3,票数不少于3
1899,海上海,商家名称候选,3,票数不少于3
2014,咖喱火锅,商家名称候选,2,大语言模型：具体店名
2101,沃尔玛,商家名称候选,2,大语言模型：具体店名
2101,沃尔玛超市,商家名称候选,2,大语言模型：具体店名
2166,淘宝,平台/线上商家候选,2,大语言模型：平台/线上商家名
2230,港式火锅,商家名称候选,3,票数不少于3
2233,屈臣氏,商家名称候选,10,票数不少于3
2507,海鸥饭店,商家名称候选,2,大语言模型：具体店名
2528,淘宝,平台/线上商家候选,4,票数不少于3
2564,上海,商家名称候选,3,票数不少于3
2724,万宁,商家名称候选,3,票数不少于3
2916,淘宝,平台/线上商家候选,5,票数不少于3
3417,船屋,商家名称候选,3,票数不少于3
3639,粥底火锅,商家名称候选,5,票数不少于3
3720,山下,商家名称候选,3,票数不少于3
3765,京伦饭店,商家名称候选,3,票数不少于3
3800,此居,商家名称候选,2,大语言模型：具体店名
4031,店里,商家名称候选,3,票数不少于3
4339,热风,商家名称候选,5,票数不少于3
4404,国美,商家名称候选,5,票数不少于3
4412,上岛咖啡,商家名称候选,2,大语言模型：具体店名
4602,文峰,商家名称候选,2,大语言模型：具体店名
4661,乐宾,商家名称候选,5,票数不少于3
4732,中兴超市,商家名称候选,2,大语言模型：具体店名
4989,太湖饭店,商家名称候选,2,大语言模型：具体店名
5088,欧尚,商家名称候选,2,大语言模型：具体店名
5246,六福,商家名称候选,5,票数不少于3
5407,国际贵都大饭店,商家名称候选,3,票数不少于3
5559,淘宝,平台/线上商家候选,3,票数不少于3
5578,花园饭店,商家名称候选,2,大语言模型：具体店名
5580,华梅西餐厅,商家名称候选,3,票数不少于3
5712,国内,商家名称候选,4,票数不少于3
5712,上海,商家名称候选,3,票数不少于3
5712,国外,商家名称候选,3,票数不少于3
5712,八佰伴,商家名称候选,2,大语言模型：具体店名
5847,王府饭店,商家名称候选,2,大语言模型：具体店名
6200,凡客诚品,平台/线上商家候选,18,票数不少于3
6695,广州,商家名称候选,3,票数不少于3
6724,万达,商家名称候选,2,大语言模型：具体店名
7055,上师大食堂,商家名称候选,2,大语言模型：具体店名
7219,教育超市,商家名称候选,2,大语言模型：具体店名
7324,童涵春,商家名称候选,2,大语言模型：具体店名
7496,焦糖奶茶,商家名称候选,2,大语言模型：具体店名
7711,城隍庙,商家名称候选,3,票数不少于3
7717,苏宁,平台/线上商家候选,3,票数不少于3
7798,窄巷子酒吧,商家名称候选,2,大语言模型：具体店名
7805,辣味浓浓的老妈米线火锅,商家名称候选,2,大语言模型：具体店名
7893,同仁堂,商家名称候选,4,票数不少于3
7964,龙门,商家名称候选,4,票数不少于3
8323,海鸥饭店,商家名称候选,7,票数不少于3
8545,南京饭店,商家名称候选,2,大语言模型：具体店名
8647,1号店,平台/线上商家候选,25,票数不少于3
8647,一号店上,商家名称候选,4,票数不少于3
8746,京东,平台/线上商家候选,51,票数不少于3
8746,京东商城,商家名称候选,5,票数不少于3
8746,京东网上,商家名称候选,2,大语言模型：平台/线上商家名
8810,小乔,商家名称候选,2,大语言模型：具体店名
8986,可得网,平台/线上商家候选,7,票数不少于3
8986,三叶,商家名称候选,2,大语言模型：具体店名
8986,可得网购,商家名称候选,2,大语言模型：平台/线上商家名
9606,港式茶餐厅,商家名称候选,3,票数不少于3
9982,自动咖啡,商家名称候选,2,大语言模型：具体店名
10202,和其他的超市,商家名称候选,3,票数不少于3
10325,久光,商家名称候选,2,大语言模型：具体店名
10325,久光的超市,商家名称候选,2,大语言模型：具体店名
10350,北辰超市,商家名称候选,2,大语言模型：具体店名
10473,苏宁,平台/线上商家候选,3,票数不少于3
10649,热风,商家名称候选,2,大语言模型：具体店名
10653,满记甜品,商家名称候选,3,票数不少于3
10653,烹大师火锅,商家名称候选,3,票数不少于3
11251,同仁堂,商家名称候选,2,大语言模型：具体店名
11409,森林酒吧,商家名称候选,2,大语言模型：具体店名
11498,红星,商家名称候选,2,大语言模型：具体店名
11947,排队,商家名称候选,3,票数不少于3
12304,匡威,商家名称候选,2,大语言模型：具体店名
13026,国外,商家名称候选,3,票数不少于3
13026,新光天地,商家名称候选,2,大语言模型：具体店名
13295,御家,商家名称候选,2,大语言模型：具体店名
13869,沃尔玛超市,商家名称候选,3,票数不少于3
13933,千禧,商家名称候选,2,大语言模型：具体店名
14143,外面,商家名称候选,3,票数不少于3
14667,吉之岛,商家名称候选,3,票数不少于3
15186,法宝超市,商家名称候选,2,大语言模型：具体店名
15219,新疆饭店,商家名称候选,2,大语言模型：具体店名
15622,万达,商家名称候选,3,票数不少于3
15668,久光,商家名称候选,2,大语言模型：具体店名
16009,珂兰,商家名称候选,2,大语言模型：具体店名
16068,万宁,商家名称候选,3,票数不少于3
16244,运动品综合超市,商家名称候选,2,大语言模型：具体店名
16283,北辰,商家名称候选,2,大语言模型：具体店名
16321,都会,商家名称候选,3,票数不少于3
16321,老八样,商家名称候选,2,大语言模型：具体店名
16458,满记甜品,商家名称候选,6,票数不少于3
16519,台中大甲芋头奶茶,商家名称候选,3,票数不少于3
16519,布丁奶茶,商家名称候选,3,票数不少于3
16519,白胡子奶茶,商家名称候选,3,票数不少于3
16681,11便利店,商家名称候选,2,大语言模型：具体店名
17008,无限度,商家名称候选,3,票数不少于3
17462,家为乐火锅,商家名称候选,2,大语言模型：具体店名
17944,屈臣氏,商家名称候选,2,大语言模型：具体店名
18201,船上,商家名称候选,3,票数不少于3
18321,淘宝,平台/线上商家候选,2,大语言模型：平台/线上商家名
18695,为为网,商家名称候选,3,票数不少于3
18695,1号店,平台/线上商家候选,2,大语言模型：平台/线上商家名
18695,为为,商家名称候选,2,大语言模型：具体店名
18851,食品超市,商家名称候选,3,票数不少于3
19113,牛奶咖啡,商家名称候选,2,大语言模型：具体店名
19113,西班牙,商家名称候选,2,大语言模型：具体店名
19743,华联超市,商家名称候选,2,大语言模型：具体店名
20257,多佐料理,商家名称候选,2,大语言模型：具体店名
20280,百盛,商家名称候选,2,大语言模型：具体店名
20631,京东商城,商家名称候选,3,票数不少于3
20631,京东,平台/线上商家候选,2,大语言模型：平台/线上商家名
22471,唯品会,商家名称候选,6,票数不少于3
23308,新街口南小巷内购,商家名称候选,2,大语言模型：具体店名
24860,星游城,商家名称候选,2,大语言模型：具体店名
28369,古堡酒吧,商家名称候选,2,大语言模型：具体店名
30987,茉莉香饭店,商家名称候选,2,大语言模型：具体店名
31153,友谊,商家名称候选,2,大语言模型：具体店名
31165,百佳超市,商家名称候选,2,大语言模型：具体店名
31197,楼外楼,商家名称候选,2,大语言模型：具体店名
31231,百佳超市,商家名称候选,2,大语言模型：具体店名
